time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,f,r
2001-09-01 00:00:00,25.668028729318404,25.735065153369025,25.668015988672725,40.0,40.0,40.0,692.9777328888398,556.5604461243282,720.3487428370433,400.0,400.0,400.0,7.643349294381713,7.604796546465816,7.643358922706204,26.0,26.0,26.0,20.0,8.184414661344762,20.0,20.0,15.0,0.0,0.0,15.0,12.0,0.0,21.375916078322543,18.28833333333334,49.65191324362522,0.003162981305604775,0,0
2001-09-01 01:00:00,25.19614041829246,25.355114819135185,25.195647485315046,40.0,40.0,40.0,692.9777328888398,556.5604461243282,720.3487428370433,400.0,400.0,400.0,14.046172599024223,13.911956453090909,14.046617179091127,26.0,26.0,26.0,20.0,8.184414661344762,20.0,20.0,15.0,0.0,0.0,15.0,12.0,0.0,21.375916078322543,19.098333333333336,28.918330991700234,0.003162981305604775,0,0
2001-09-01 02:00:00,24.881438291828417,25.095213904266714,24.87925176897276,40.0,40.0,40.0,692.9777328888398,556.5604461243282,720.3487428370433,400.0,400.0,400.0,16.86396035304297,16.64903644984585,16.866229869238836,26.0,26.0,26.0,20.0,8.184414661344762,20.0,20.0,15.0,0.0,0.0,15.0,12.0,0.0,21.375916078322543,19.200000000000024,30.853154100746323,0.003162981305604775,0,0
2001-09-01 03:00:00,24.629994424733095,24.88426636371845,24.625233498388898,40.0,40.0,40.0,692.9777328888398,556.5604461243282,720.3487428370433,400.0,400.0,400.0,19.57413368285586,19.27797761228733,19.57979442348967,26.0,26.0,26.0,20.0,8.184414661344762,20.0,20.0,15.0,0.0,0.0,15.0,12.0,0.0,21.375916078322543,19.101666666666663,33.26962229346971,0.003162981305604775,0,0
2001-09-01 04:00:00,24.389831832847637,24.681076590841393,24.38212425671244,40.0,40.0,40.0,692.9777328888398,556.5604461243282,720.3487428370433,400.0,400.0,400.0,21.40447152765451,21.033724256988197,21.414440948122138,26.0,26.0,26.0,20.0,8.184414661344762,20.0,20.0,15.0,0.0,0.0,15.0,12.0,0.0,21.375916078322543,18.754166666666674,33.25788088551506,0.003162981305604775,0,0
2001-09-01 05:00:00,24.134524769487946,24.46419666995208,24.123746966874453,40.0,40.0,40.0,692.9777328888398,556.5604461243282,720.3487428370433,400.0,400.0,400.0,22.67675495326639,22.231972679099286,22.691519039653926,26.0,26.0,26.0,20.0,8.184414661344762,20.0,20.0,15.0,0.0,0.0,15.0,12.0,0.0,21.375916078322543,18.15583333333333,35.66681840796503,0.003162981305604775,0,0
2001-09-01 06:00:00,23.95585671703435,24.23702934366791,23.86346446949284,40.0,40.0,40.0,692.9777328888398,556.5604461243282,720.3487428370433,400.0,400.0,400.0,23.983906436239014,23.589629566349075,24.125090725821916,26.0,26.0,26.0,20.0,8.184414661344762,20.0,20.0,15.0,0.0,0.0,15.0,12.0,0.0,21.375916078322543,16.423333333333332,41.15433561176563,0.003162981305604775,0,0
2001-09-01 07:00:00,24.465711430466115,24.17670318173618,23.840010618090854,40.0,40.0,40.0,692.9777328888398,556.5604461243282,720.3487428370433,400.0,400.0,400.0,24.11809236269354,24.56162101564269,25.060571376013115,26.0,26.0,26.0,20.0,8.184414661344762,20.0,20.0,15.0,0.0,0.0,15.0,12.0,0.0,21.375916078322543,17.458333333333332,40.893805585745646,0.003162981305604775,0,0
2001-09-01 08:00:00,25.466110819039553,24.630766929365336,24.371968042373894,57.49944176999762,66.0414309021148,66.79007956753289,440.7324421326246,186.60878240774298,220.98650798740007,588.4850294023702,598.6035764437833,597.6231938590032,33.00884550227387,34.62274382994471,35.0098988412863,26.0,26.0,26.0,16.97784403333332,18.378696787838372,15.962125344317666,12.054927341571583,15.634154066108637,24.168692668319284,0.0,15.269999999999994,24.069234094038258,0.11805366341227716,21.959626120596386,21.081666666666667,36.44586258307966,0.48656565979889493,0,0
2001-09-01 09:00:00,25.843137951889833,25.355345520288072,25.182732442371393,39.14144502360489,48.89371053845503,52.45169941333557,892.5626599126616,486.1192487759674,522.0142191184842,960.6131275331776,1180.370924154334,1156.2318673788739,41.14713339549077,43.58476249754112,43.771402284645596,26.0,26.0,26.0,13.401650979953986,13.008243997558413,20.041340562922077,15.03100542219156,15.848938108840354,24.98732585548724,25.152666498157036,15.590000000000012,24.51778904135533,0.2896288597421037,21.88230375043328,23.281666666666663,33.5978039587832,1.1856247065025671,0,0
